"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"1","1100","25860","39025","HomeImp","Other","10.5","0","0","94.3666666666667","1","9",""
"1","1800","28502","43034","HomeImp","Other","11","0","0","88.7660298789099","0","8","36.8848940929048"
"1","2000","22608","","","","18","","","","","",""
"1","2400","50000","73395","HomeImp","ProfExe","5","1","0","","1","0",""
"1","2500","25116","36350","HomeImp","Other","10","1","2","276.966666666667","0","9",""
"1","2800","50795","63100","HomeImp","Self","26","2","15","145.633333333333","3","45",""
"1","3000","","33000","HomeImp","Other","1","0","1","23.3","1","2",""
"1","3000","","14500","HomeImp","Other","3","0","0","9.3","14","2",""
"1","3000","","14100","HomeImp","Other","1","0","0","104.2","0","19",""
"0","3600","61327","76484","HomeImp","Mgr","9","","2","202.51077515241","0","25","41.5163896993251"
"0","3900","52825","63000","DebtCon","ProfExe","8","0","4","171.666666666667","1","31",""
"1","4000","41700","76725","HomeImp","Other","0.5","0","3","136.133333333333","0","15",""
"0","4000","64240","63990","HomeImp","Sales","5","2","0","160.3","1","23",""
"1","4000","74000","93000","HomeImp","ProfExe","2.6","1","3","186.633333333333","","9",""
"0","4500","66127","79087","HomeImp","Other","4","1","0","81.3490650979605","0","15","40.7053087596899"
"1","4500","118000","146870","HomeImp","ProfExe","4.5","2","0","203.866666666667","1","20",""
"0","4700","67913","97205","","Mgr","2","0","0","142.824391513498","0","24","35.2269971919884"
"0","4700","71855","88566","HomeImp","Other","2","2","0","283.959538087112","0","5","36.4754732826378"
"0","4700","88026","115506","HomeImp","ProfExe","6","0","0","182.248331560814","0","27","29.2090225796956"
"0","4900","58688","63348","DebtCon","ProfExe","9","0","3","179.162574709457","2","31","22.5443928365337"
"0","4900","67794","84630","HomeImp","Other","4","0","0","112.573418882591","0","15","41.6739963615285"
"0","4900","","69706","","","","","","","","","33.7055877376094"
"0","5000","47479","61690","DebtCon","","5","","0","65.0329690071755","","16","36.6994149216727"
"0","5000","66839","87168","HomeImp","Other","4","0","0","122.597222584587","0","15","40.6167793460827"
"0","5000","90059","113714","HomeImp","ProfExe","7","0","0","193.636446864652","0","28","25.8973164822195"
"1","5000","31000","47350","HomeImp","ProfExe","12","","","","","",""
"1","5000","63125","126500","HomeImp","Office","3","0","0","100.3","0","14",""
"1","5000","","74500","HomeImp","Other","19","","","","","",""
"0","5000","72517","86250","DebtCon","Mgr","19","0","1","300.366666666667","1","24",""
"0","5000","26037","35000","HomeImp","ProfExe","12","0","0","182.633333333333","0","13",""
"0","5000","74225","89640","DebtCon","ProfExe","0.3","","","","","",""
"0","5000","","65400","HomeImp","Office","1.5","0","0","51.7666666666667","0","4",""
"0","5000","59900","80800","DebtCon","ProfExe","15","0","0","219.133333333333","1","18",""
"0","5100","87258","121382","HomeImp","ProfExe","6","0","0","181.663040156594","0","28","25.444759149195"
"0","5100","","28291","DebtCon","Other","2","0","0","277.94456081157","1","14","23.6446912830717"
"1","5100","9900","30451","HomeImp","Other","11","0","0","21.2","0","2",""
"0","5100","62702","79784","HomeImp","Other","2","0","0","108.072590806335","0","15","43.2901398161473"
"0","5200","43039","53521","HomeImp","Office","11","","","184.296687292686","","19","24.4147631772257"
"0","5200","91250","110000","HomeImp","Office","24","0","0","123.766666666667","1","12",""
"0","5200","16324","45187","HomeImp","Self","","0","0","221.118081705132","0","11","42.7120938437209"
"1","5200","40564","39527","HomeImp","Other","0","0","0","157.771035724923","1","13","72.6704333126687"
"0","5300","73698","84427","DebtCon","","4","","","","","","19.1312011793261"
"0","5300","44993","50673","HomeImp","Office","7","","","184.742767163459","","18","27.9061227256321"
"0","5300","75958","91703","DebtCon","Other","0","0","0","124.182178801947","1","10","34.5990601938726"
"0","5300","83552","96809","DebtCon","ProfExe","0","","","","","","28.4239619064256"
"0","5400","68625","82304","DebtCon","Sales","2","0","0","136.632944161805","0","30","32.0500234903907"
"0","5500","","35402","HomeImp","","","","","","","","35.2720737354933"
"1","5500","","43132","HomeImp","Other","","","","","","",""
"0","5500","78059","78179","DebtCon","","5","","","","","","20.6793135817858"
"0","5500","72147","69918","HomeImp","Sales","4","2","0","158.534497900144","0","23","43.4044302384855"
"1","5500","","12972","HomeImp","Other","1","0","1","82.2942663537203","0","2","36.9867440967759"
"0","5500","71644","72696","HomeImp","Sales","4","2","0","150.865845134943","0","22","40.4425677847781"
"1","5500","85845","122205","DebtCon","ProfExe","5","0","0","172.213276650362","1","26","32.6766408752541"
"0","5700","28116","33450","DebtCon","Other","0","1","0","15.3965873921407","9","7","30.0170132955895"
"0","5800","","36385","HomeImp","Other","2","0","0","266.553394384046","1","25","43.3097645408193"
"0","5800","46595","58191","HomeImp","Other","5","0","0","80.1317464139763","0","17","24.1401536666416"
"0","5900","","66903","","","","","","","","","32.7829268275867"
"1","6000","47625","85925","HomeImp","Office","0.1","2","1","154.133333333333","4","26",""
"1","6000","42000","58305","DebtCon","Other","19","0","0","90","2","13",""
"1","6000","9660","35900","DebtCon","Other","8","0","1","136.3","3","6",""
"0","6000","43000","57460","HomeImp","Other","1.6","1","","101.5","","13",""
"1","6000","18793","27750","HomeImp","Mgr","6","0","3","119.7","0","8",""
"0","6000","79046","103048","HomeImp","Other","0","0","0","181.696538015268","0","32","37.2899899236346"
"1","6000","","43683","HomeImp","Other","","","","","","","21.9354988133048"
"0","6100","","35250","HomeImp","Other","","","","303","","12",""
"1","6100","62751","95617","HomeImp","Other","1","0","0","138.64686318406","1","13","31.7572706938289"
"0","6200","","33909","HomeImp","","","","","","","","34.5174045158864"
"0","6200","60354","87596","HomeImp","ProfExe","5","0","0","210.173064671918","2","23","34.0548112374986"
"0","6200","45356","82054","DebtCon","","2","0","0","201.334487465687","4","29","29.6617101620239"
"0","6200","","80078","","","","","","","","","25.3755441606583"
"0","6200","45787","64854","DebtCon","","4","","1","63.1170232280012","","16","36.5387473382516"
"0","6200","","51732","","","","","","","","","12.3247070911223"
"0","6200","133882","155222","HomeImp","ProfExe","9","0","0","212.537643218598","0","19","20.6167836559642"
"0","6300","44226","57779","DebtCon","","7","","0","63.62641325128","","16","33.1118291094302"
"0","6300","78724","80355","HomeImp","Other","24","0","0","335.074142606144","1","46","31.177261304407"
"1","6300","12476","32559","HomeImp","Office","12","3","6","227.129905110234","0","23","23.319516780162"
"0","6300","69357","73726","HomeImp","Sales","3","2","0","163.283933186519","1","22","42.4078142451624"
"0","6400","39687","51666","HomeImp","Office","9","","","177.591354018136","","19","26.1209597003604"
"0","6400","44968","62747","HomeImp","Other","0","1","","101.391445324615","","12","36.6029473432028"
"0","6500","63144","76754","HomeImp","Mgr","2","0","2","129.077711596894","0","23","29.0554331278081"
